DeconMSn Version:     2.4.9069.30418 (2024-10-30)
Dataset:              QC_Shew_19_01_top3_500ng-run1_11Apr19_Brandi_Thermo-10408462
MSn scans processed:  275
DTAs written:         270
Date/Time:            10/30/2024 16:54
-----------------------------------------------------------


MSn_Scan	MSn_Level	Parent_Scan	Parent_Scan_Level	Parent_Mz	Mono_Mz	Charge_State	Monoisotopic_Mass	Isotopic_Fit	Parent_Intensity	Mono_Intensity
500	2	498	1	506.9524	506.6181	3	1516.8343	0.0191	44663	59675
501	2	498	1	555.6067	555.6067	3	1663.8000	0.0433	33220	33220
504	2	502	1	471.2695	471.2695	3	1410.7885	0.0086	30443	30443
505	2	502	1	531.2910	531.2910	2	1060.5686	0.0200	26733	26733
507	2	506	1	576.2748	576.2748	3	1725.8042	0.0285	54196	54196
508	2	506	1	863.9089	863.9089	2	1725.8044	0.0129	49598	49598
509	2	506	1	405.2013	405.2013	2	808.3892	0.0054	33074	33074
511	2	510	1	501.7843	501.7843	4	2003.1080	1.0000	31207	31207
512	2	510	1	756.3868	756.3868	4	3020.5172	0.0174	29441	17964
513	2	510	1	536.6491	536.6491	3	1606.9271	0.0094	29876	29876
515	2	514	1	545.0477	545.0477	4	2175.1612	0.0234	30960	27382
516	2	514	1	563.2785	562.9442	3	1685.8125	0.0253	29117	29645
517	2	514	1	550.3259	550.3259	2	1098.6383	0.0066	27701	27701
519	2	518	1	451.2383	451.2383	3	1350.6948	0.0073	257298	257298
520	2	518	1	676.3535	676.3535	2	1350.6936	0.0124	52838	52838
521	2	518	1	652.8498	652.8498	2	1303.6862	0.0073	38815	38815
523	2	522	1	791.3530	791.3530	3	2370.0358	0.0138	63175	47283
524	2	522	1	651.3677	651.3677	2	1300.7220	0.0190	37598	37598
525	2	522	1	453.2568	453.2568	2	904.5001	0.0060	34526	34526
527	2	526	1	466.7625	466.7625	2	931.5115	0.0061	47041	47041
528	2	526	1	442.2375	442.2375	3	1323.6922	0.0229	35247	35247
531	2	530	1	646.3523	646.3523	2	1290.6912	0.0088	97110	97110
532	2	530	1	456.7493	456.7493	2	911.4851	0.0112	52625	52625
533	2	530	1	444.2651	444.2651	3	1329.7753	0.0047	51120	51120
535	2	534	1	459.2384	459.2384	3	1374.6949	0.0076	137346	137346
536	2	534	1	557.8127	557.8127	2	1113.6120	0.0083	44286	44286
540	2	538	1	805.3759	805.3759	2	1608.7384	0.0375	36815	36815
541	2	538	1	411.8758	411.8758	3	1232.6072	0.0101	30414	30414
543	2	542	1	574.3079	574.3079	3	1719.9036	0.0100	45624	45624
544	2	542	1	609.3033	609.3033	2	1216.5931	0.0120	35493	35493
545	2	542	1	613.3168	613.3168	3	1836.9302	0.0255	28908	28908
547	2	546	1	624.3255	624.3255	4	2492.2723	0.0237	58323	39959
548	2	546	1	539.7968	539.7968	2	1077.5802	0.0123	53495	53495
549	2	546	1	717.3710	717.3710	2	1432.7285	0.0051	22526	22526
551	2	550	1	571.2892	571.2892	3	1710.8474	0.0846	54245	54245
552	2	550	1	639.8240	639.8240	2	1277.6346	0.0074	29632	29632
553	2	550	1	464.9137	464.9137	3	1391.7210	0.0104	27739	27739
555	2	554	1	745.8781	745.8781	2	1489.7428	0.0212	121201	121201
556	2	554	1	479.2792	479.2792	3	1434.8174	0.0108	42969	42969
557	2	554	1	541.6160	541.2819	3	1620.8255	0.1819	47728	50437
559	2	558	1	636.7973	636.7973	2	1271.5811	0.0061	74376	74376
561	2	558	1	464.2836	464.2836	2	926.5537	0.0179	30865	30865
563	2	562	1	622.6626	622.6626	3	1863.9648	0.0206	40480	35391
564	2	562	1	617.3069	617.3069	3	1847.8977	0.0101	39104	36918
567	2	566	1	467.2488	467.2488	4	1863.9654	0.0159	63928	60020
568	2	566	1	551.2936	551.2936	3	1650.8606	0.0406	17590	17590
571	2	570	1	713.3490	713.3490	3	2136.0238	0.0133	18914	14011
573	2	570	1	524.9626	524.9626	3	1571.8676	0.0200	14974	14974
575	2	574	1	593.3262	593.3262	2	1184.6389	0.0067	457060	457060
576	2	574	1	431.5737	431.5737	3	1291.7010	0.0062	26753	26753
577	2	574	1	410.2389	410.2389	2	818.4643	0.0049	25167	25167
579	2	578	1	527.2957	527.2957	3	1577.8641	0.0278	24272	21212
580	2	578	1	807.3760	807.3760	2	1612.7386	0.0063	21985	21985
583	2	582	1	521.7882	521.7882	2	1041.5629	0.0073	36311	36311
585	2	582	1	476.9355	476.9355	3	1427.7864	0.0298	28726	28726
587	2	586	1	461.2287	461.2287	3	1380.6658	0.0103	82979	82979
588	2	586	1	563.0711	563.0711	4	2247.2547	0.0179	49871	36361
589	2	586	1	720.0363	720.0363	3	2156.0859	0.0096	28723	22520
592	2	590	1	569.7890	569.7890	2	1137.5645	0.0428	21862	21862
593	2	590	1	670.3426	670.3426	3	2007.0048	0.0158	18906	17423
595	2	594	1	796.8807	796.8807	2	1591.7480	0.0392	27538	27538
596	2	594	1	752.0768	752.0768	3	2252.2074	0.0158	21154	19523
597	2	594	1	543.8661	543.8661	5	2713.2940	0.0790	17658	11692
599	2	598	1	444.5880	444.5880	3	1330.7438	0.0204	50110	50110
600	2	598	1	566.0430	566.0430	4	2259.1424	0.0513	22443	16272
601	2	598	1	651.3329	651.3329	4	2600.3019	0.0250	20843	13733
603	2	602	1	448.7806	448.7806	2	895.5477	0.0076	35764	35764
604	2	602	1	674.3547	674.3547	3	2020.0439	0.0120	26045	26045
605	2	602	1	404.2461	404.2461	3	1209.7181	0.0225	22061	22061
607	2	606	1	596.6668	596.6668	3	1786.9803	0.0253	43553	43553
609	2	606	1	536.2798	536.2798	3	1605.8191	0.0243	18717	18717
612	2	610	1	550.8084	551.3089	2	1099.6015	0.0149	22078	22078
613	2	610	1	588.6706	588.6706	3	1762.9917	0.0158	18171	18171
615	2	614	1	582.3360	582.3360	2	1162.6585	0.0143	20722	20722
616	2	614	1	692.9043	692.9043	2	1383.7952	0.0241	19375	19375
617	2	614	1	599.3487	599.3487	2	1196.6839	0.0310	16316	16316
619	2	618	1	490.9387	490.9387	3	1469.7960	0.0073	62418	62418
621	2	618	1	518.7934	518.7934	4	2070.1438	0.0180	34251	31837
623	2	622	1	672.3697	671.8686	2	1341.7237	0.0137	57395	82650
624	2	622	1	567.8279	567.8279	2	1133.6423	0.0086	39330	39330
625	2	622	1	647.2878	647.2878	2	1292.5621	0.0189	36668	36668
628	2	626	1	815.9153	815.9153	4	3258.6314	0.0722	33409	20684
629	2	626	1	685.6890	685.6890	3	2053.0439	0.0164	31053	26711
631	2	630	1	603.8206	603.8206	2	1205.6278	0.0048	27850	27850
632	2	630	1	645.8295	645.8295	2	1289.6455	0.0186	27603	27603
635	2	634	1	807.1071	807.1071	3	2417.2982	0.0189	110896	87684
636	2	634	1	1004.1637	1004.1637	3	3008.4681	0.0092	49556	31840
637	2	634	1	698.0282	698.0282	3	2090.0616	0.0065	46270	43062
639	2	638	1	533.2898	533.2898	3	1596.8493	0.0266	57903	57903
640	2	638	1	547.6371	547.6371	3	1639.8911	0.0078	36822	36822
641	2	638	1	788.7482	788.7482	3	2362.2216	0.0187	28759	18379
643	2	642	1	733.9184	733.9184	2	1465.8233	0.0263	37096	37096
644	2	642	1	528.2920	528.2920	4	2108.1382	0.0181	30486	25803
645	2	642	1	630.5770	630.5770	4	2517.2783	0.0208	19079	14463
648	2	646	1	803.3884	803.3884	3	2406.1422	0.0112	24352	18702
649	2	646	1	552.6416	552.6416	3	1654.9048	0.0065	26218	26218
651	2	650	1	764.4229	764.4229	2	1526.8323	0.0052	89639	89639
652	2	650	1	673.9682	673.3010	3	2015.8798	0.0070	37936	117782
655	2	654	1	749.6972	749.6972	3	2245.0687	0.0058	55110	45199
656	2	654	1	525.2827	525.2827	3	1572.8278	0.0289	40999	40999
657	2	654	1	493.2942	493.2942	2	984.5748	0.0049	41773	41773
660	2	658	1	581.8132	581.8132	2	1161.6129	0.0321	36042	36042
661	2	658	1	572.9601	572.9601	3	1715.8600	0.0190	26039	26039
664	2	662	1	683.7210	683.7210	3	2047.1398	0.0156	64460	57267
665	2	662	1	481.0097	481.0097	4	1919.0092	0.0280	36500	29581
667	2	666	1	658.8643	658.8643	2	1315.7152	0.0151	55354	55354
668	2	666	1	718.7157	718.7157	3	2152.1240	0.0087	29657	23818
669	2	666	1	445.8979	445.8979	3	1334.6734	0.0544	28698	28698
671	2	670	1	834.4508	834.4508	3	2499.3293	0.0140	92627	72529
672	2	670	1	563.6172	563.6172	3	1687.8315	0.0057	37765	37765
673	2	670	1	657.9707	657.9707	3	1970.8919	0.0246	21391	21391
675	2	674	1	815.0748	815.0748	3	2441.2012	0.0073	47559	34660
676	2	674	1	562.7781	562.7781	4	2246.0825	0.0447	24375	17072
679	2	678	1	542.8046	542.8046	2	1083.5958	0.0033	151921	151921
680	2	678	1	672.4280	672.4280	1	671.4213	0.0054	45856	45856
681	2	678	1	596.8313	596.8313	2	1191.6491	0.0099	37852	37852
683	2	682	1	637.8574	637.8574	2	1273.7013	0.0155	33780	33780
684	2	682	1	941.9827	941.9827	4	3762.9010	0.0208	29446	16095
685	2	682	1	593.8313	593.8313	2	1185.6491	0.0259	26698	26698
687	2	686	1	522.5399	522.5399	4	2085.1299	0.0143	63598	54259
688	2	686	1	723.7089	723.7089	3	2167.1037	0.0117	53065	43149
689	2	686	1	753.3997	753.3997	3	2256.1759	0.0125	40676	31540
692	2	690	1	812.4129	812.4129	2	1621.8094	0.0427	21165	17737
693	2	690	1	696.3842	696.3842	3	2085.1294	0.0205	21120	19852
695	2	694	1	691.6928	691.6928	3	2071.0554	0.0181	27103	22919
696	2	694	1	469.2662	469.2662	3	1404.7784	0.0086	22844	22844
697	2	694	1	796.7573	796.7573	3	2386.2489	0.0061	20036	16071
699	2	698	1	519.6317	519.6317	3	1554.8720	0.0144	22407	22176
700	2	698	1	466.7809	466.7809	2	931.5484	0.0074	21500	21500
701	2	698	1	577.6369	577.9711	3	1729.8901	0.0461	15534	15534
704	2	702	1	779.4181	779.4181	3	2334.2311	0.0231	40031	31076
705	2	702	1	660.5940	660.5940	4	2637.3462	0.0182	29767	25924
707	2	706	1	718.3784	718.3784	2	1434.7434	0.0126	42192	42192
708	2	706	1	652.0204	651.6860	3	1952.0380	0.0101	42632	43859
709	2	706	1	538.2984	538.2984	3	1611.8750	0.0080	37867	37867
711	2	710	1	861.4376	861.4376	3	2580.2898	0.0288	59138	41190
713	2	710	1	679.5881	679.5881	4	2713.3225	0.0251	18933	11569
715	2	714	1	720.1151	720.1151	4	2875.4306	0.0126	86285	67098
717	2	714	1	592.8646	592.8646	2	1183.7158	0.0322	32586	32586
719	2	718	1	694.3547	694.3547	3	2079.0410	0.0086	81754	73506
720	2	718	1	755.0535	755.0535	3	2261.1374	0.0072	77671	66655
721	2	718	1	603.3284	603.3284	2	1204.6433	0.0091	53199	53199
723	2	722	1	758.7237	758.7237	3	2272.1480	0.0123	45847	35242
724	2	722	1	547.2879	547.2879	2	1092.5624	0.0069	42164	42164
728	2	726	1	795.9263	795.9263	2	1589.8391	0.0266	22727	22727
731	2	730	1	625.9746	625.9746	3	1873.9007	0.0076	34580	34336
732	2	730	1	509.7902	509.2883	2	1016.5621	1.0000	25560	9461
733	2	730	1	744.7173	744.7173	3	2230.1288	0.0325	23104	15975
735	2	734	1	444.7457	444.7457	4	1774.9558	0.0125	64051	64051
736	2	734	1	739.3891	739.3891	2	1476.7647	0.0064	34039	34039
739	2	738	1	741.4363	741.4363	2	1480.8592	0.0096	89094	89094
740	2	738	1	807.4161	807.4161	2	1612.8188	0.0135	38387	38387
741	2	738	1	442.5968	442.5968	3	1324.7701	0.0128	34974	34974
743	2	742	1	791.9095	791.9095	2	1581.8056	0.0244	88301	88301
744	2	742	1	494.6266	494.6266	3	1480.8596	0.0107	36246	36246
745	2	742	1	618.9853	618.9853	3	1853.9356	0.0155	33464	33464
747	2	746	1	541.2837	541.2837	3	1620.8309	0.0245	49845	49845
