ScanNumber	ScanTypeName	ScanType	ScanStartTime
1	HMS	1	0.0074
2	CID-HMSn	2	0.0223
3	CID-HMSn	2	0.0442
4	HMS	1	0.0647
5	CID-HMSn	2	0.0787
6	HMS	1	0.1016
7	HMS	1	0.1174
8	HMS	1	0.1332
9	HMS	1	0.1491
10	HMS	1	0.1649
11	HMS	1	0.1807
12	HMS	1	0.1966
13	HMS	1	0.2124
14	HMS	1	0.2282
15	CID-HMSn	2	0.2442
16	HMS	1	0.2627
17	HMS	1	0.2791
18	HMS	1	0.2949
19	HMS	1	0.3107
20	HMS	1	0.3266
21	HMS	1	0.3424
22	HMS	1	0.3584
23	HMS	1	0.3742
24	HMS	1	0.3901
25	HMS	1	0.4059
26	HMS	1	0.4217
27	HMS	1	0.4376
28	HMS	1	0.4534
29	HMS	1	0.4692
30	HMS	1	0.4851
31	HMS	1	0.5009
32	HMS	1	0.5167
33	CID-HMSn	2	0.5319
34	CID-HMSn	2	0.5537
35	HMS	1	0.5742
36	CID-HMSn	2	0.5882
37	HMS	1	0.6111
38	HMS	1	0.6269
39	HMS	1	0.6427
40	HMS	1	0.6586
41	HMS	1	0.6746
42	HMS	1	0.6904
43	HMS	1	0.7062
44	HMS	1	0.7221
45	HMS	1	0.7379
46	HMS	1	0.7537
47	HMS	1	0.7696
48	HMS	1	0.7854
49	HMS	1	0.8012
50	HMS	1	0.8171
51	HMS	1	0.8329
52	HMS	1	0.8487
53	HMS	1	0.8646
54	HMS	1	0.8804
55	HMS	1	0.8962
56	HMS	1	0.9121
57	CID-HMSn	2	0.9281
58	HMS	1	0.9487
59	CID-HMSn	2	0.9649
60	CID-HMSn	2	0.9847
61	CID-HMSn	2	1.0054
62	HMS	1	1.0257
63	CID-HMSn	2	1.0396
64	CID-HMSn	2	1.0629
65	CID-HMSn	2	1.0826
66	HMS	1	1.1029
67	CID-HMSn	2	1.1179
68	CID-HMSn	2	1.1399
69	CID-HMSn	2	1.1606
70	HMS	1	1.1811
71	CID-HMSn	2	1.1962
72	CID-HMSn	2	1.2181
73	CID-HMSn	2	1.2377
74	HMS	1	1.2559
75	CID-HMSn	2	1.2727
76	CID-HMSn	2	1.2924
77	CID-HMSn	2	1.3131
78	HMS	1	1.3336
79	CID-HMSn	2	1.3499
80	CID-HMSn	2	1.3707
81	CID-HMSn	2	1.3914
82	HMS	1	1.4107
83	CID-HMSn	2	1.4271
84	CID-HMSn	2	1.4479
85	CID-HMSn	2	1.4676
86	HMS	1	1.4879
87	CID-HMSn	2	1.5031
88	CID-HMSn	2	1.5249
89	CID-HMSn	2	1.5434
90	HMS	1	1.5647
91	CID-HMSn	2	1.5811
92	CID-HMSn	2	1.6019
93	CID-HMSn	2	1.6226
94	HMS	1	1.6429
95	CID-HMSn	2	1.6591
96	CID-HMSn	2	1.6799
97	CID-HMSn	2	1.7006
98	HMS	1	1.7209
99	CID-HMSn	2	1.7349
100	CID-HMSn	2	1.7581
101	CID-HMSn	2	1.7765
102	HMS	1	1.7979
103	CID-HMSn	2	1.8141
104	CID-HMSn	2	1.8339
105	CID-HMSn	2	1.8547
